Borough,Year,median_household_income,renter_median_income,population,pop_density_1000sqmi,homeownership_rate,crime_rate_per1000,car_free_commute_pct,mean_travel_time_min,high_cost_purchase_loan_pct,high_cost_refi_loan_pct,fha_va_loan_pct,housing_voucher_pct,unemployment_rate,new_building_permits,rental_vacancy_rate,severe_crowding_rate,subway_proximity_pct,park_proximity_pct,renter_income_ratio,cost_pressure_index,affordability_stress,income_growth_yoy,renter_income_growth_yoy,income_gap,renter_share,borough_code,market_tightness,housing_burden_composite,supply_pipeline_rate,government_support_index,economic_vulnerability_idx,permit_growth_yoy,affordability_stress_lag1,cost_pressure_index_lag1,median_household_income_lag1,crime_rate_per1000_lag1,unemployment_rate_lag1,rental_vacancy_rate_lag1,supply_pipeline_rate_lag1,affordability_category
Bronx,2019,49779.79640787449,40738.64541421607,1418207.0,33.726698438247645,0.188696024441028,14.100124792043438,0.710812144930972,45.9358783596098,0.0995584102769972,0.0405561993047509,0.246085909273384,0.137989,0.0906831655761691,6122,0.0203500055687106,0.0574197327349073,0.7733529792757421,0.8665501643660081,0.8183770998262212,0.07005730479087405,0.08560516271258128,0.059565542728293064,0.0336752200453867,9041.150993658419,0.8113039755589719,1,39.44772308982431,0.1481028983110764,43.16718222375154,0.384074909273384,0.12040637284696062,0.4496803220459389,0.058185122740708355,0.0488100378433441,46981.32810141755,14.091433529586867,0.101301037232448,0.0207455832455832,29.487505341686383,Stressed
Bronx,2021,49177.2691316887,41942.05583589632,1424948.0,33.88700766967312,0.195929111226182,15.863635686715703,0.648094709581946,43.2774912406694,0.0533596837944664,0.011307767944936,0.2467061923583662,0.124571,0.160661360633266,5817,0.0190326404619664,0.0566359653215984,0.7733529792757421,0.8665501643660081,0.8528748459696357,0.0323337258697012,0.03791145444433984,-0.012103851756422257,0.029539775057427553,7235.213295792382,0.8040708887738179,1,41.61007616215043,0.2172973259548644,40.82254229628029,0.3712771923583662,0.1344417989297718,0.03967828418230557,,0.03709925678970695,,14.155764859423886,,0.0197039953654626,,Affordable
Bronx,2022,49049.27453319619,40150.42555160395,1379946.0,32.8168050242779,0.211691539955162,18.96867075797514,0.665621926745608,43.3015447225976,0.0616547334924423,0.0199203187250996,0.2100238663484487,,0.0957602924731734,11184,0.0209568778652436,0.058718192627824,0.7733529792757421,0.8665501643660081,0.8185732803128501,0.04078752610877095,0.04982758060852216,-0.002602718710340679,-0.04271679698540176,8898.848981592244,0.788308460044838,1,38.525434576205534,0.1544784851009974,81.0466496515081,0.2100238663484487,0.1226184433896941,0.9226405363589478,0.03791145444433984,0.0323337258697012,49177.2691316887,15.863635686715703,0.160661360633266,0.0190326404619664,40.82254229628029,Affordable
Bronx,2023,48614.21854173007,40659.57976757619,1356476.0,32.25865969546083,0.200588155470831,20.10048210289465,0.664408224307916,41.8776672671203,0.0520775623268698,0.0544959128065395,0.2177285318559556,0.134789,0.0929127702438584,4860,0.0211619746853033,0.0598658867845954,0.7733529792757421,0.8665501643660081,0.8363721764379349,0.053286737566704656,0.06371175305430421,-0.008869774234309569,0.01268116611411374,7954.638774153878,0.799411844529169,1,38.22341440310918,0.1527786570284538,35.82813112801111,0.3525175318559556,0.11458941487928848,-0.5654506437768241,0.04982758060852216,0.04078752610877095,49049.27453319619,18.96867075797514,0.0957602924731734,0.0209568778652436,81.0466496515081,Moderate
Brooklyn,2005,46220.0,37160.0,2446016.0,,0.3006463635974796,17.008298293920234,0.7049683438963257,40.700608543585986,0.2367704667684748,0.3267406427873282,0.0075028218577783,,0.0911349282996525,73,,,0.7970727086035237,0.7070533839917538,0.8039809606231069,0.2817555547779015,0.35045053126573217,,,9060.0,0.6993536364025204,2,28.571428571428573,0.13775571179096446,0.2984444909599937,0.0075028218577783,0.11486158707061826,,,,,,,,,Stressed
Brooklyn,2006,61167.66713638423,45088.68588581785,2508820.0,36.16500125526429,0.32257224949724,15.936403657325137,0.712683749698771,41.3948058076954,0.2728377412437455,0.3550031075201988,0.0056468906361686,,0.0737969523346397,27,,,0.7970727086035237,0.7070533839917538,0.7371326715024881,0.31392042438197215,0.42586692534209913,0.3234025775937739,0.21336614332125547,16078.98125056638,0.6774277505027599,2,28.571428571428573,0.12041773582595165,0.10762031552682139,0.0056468906361686,0.13466571233286065,-0.6301369863013699,0.35045053126573217,0.2817555547779015,46220.0,17.008298293920234,0.0911349282996525,,0.2984444909599937,Stressed
Brooklyn,2007,60977.60577245087,48197.726941041685,2528050.0,36.44220447197125,0.306040537374318,14.837956775222802,0.730143073421039,44.1795407857003,0.1175751222921034,0.2519351271654994,0.0074248777078965,,0.0666643699346293,116,,,0.7970727086035237,0.7070533839917538,0.7904168477998357,0.1847551247288014,0.23374391024568417,-0.003107219431952246,0.06895390704215987,12779.878831409187,0.693959462625682,2,28.571428571428573,0.11328515342594125,0.45885168410434923,0.0074248777078965,0.11049900885391746,3.2962962962962967,0.42586692534209913,0.31392042438197215,61167.66713638423,15.936403657325137,0.0737969523346397,,0.10762031552682139,Stressed
Brooklyn,2008,61486.11005929206,48978.53859073212,2556598.0,36.85372799930094,0.307792054299559,14.683817257054825,0.731924561267498,41.3704186229444,0.0468131076701476,0.1152489219913759,0.0540151242347857,,0.0724155214281461,46,,,0.7970727086035237,0.7070533839917538,0.7965789109686937,0.08103101483076175,0.10172377615699438,0.00833919732333821,0.016200175801766914,12507.571468559945,0.692207945700441,2,28.571428571428573,0.11903630491945805,0.17992660559071078,0.0540151242347857,0.11033464418378096,-0.603448275862069,0.23374391024568417,0.1847551247288014,60977.60577245087,14.837956775222802,0.0666643699346293,,0.45885168410434923,Stressed
Brooklyn,2009,60916.14354058904,46948.020741053515,2567098.0,37.00508700998336,0.3054947422906,13.16108106967958,0.723211027067527,41.0041218260781,0.0325596389426176,0.0286947689182326,0.1479690522243713,0.0801525,0.0998127562634977,1,0.0378539530748581,0.0399570961190599,0.7970727086035237,0.7070533839917538,0.7706991613770097,0.030627203930425097,0.039739505977537865,-0.00926984189036184,-0.041457297585902775,13968.122799535522,0.6945052577094,2,23.335070121843394,0.1397698523825576,0.003895449258267507,0.2281215522243713,0.13963685717840718,-0.9782608695652174,0.10172377615699438,0.08103101483076175,61486.11005929206,14.683817257054825,0.0724155214281461,,0.17992660559071078,Moderate
Brooklyn,2010,58475.1971527501,46904.48151654045,2508340.0,36.15808198620453,0.302104124853504,13.183694540744682,0.74378420787178,40.7024147427017,0.0085963734049697,0.0276110444177671,0.2179986568166554,0.0781407,0.108602435627393,2095,0.0400758442936162,0.0442799799297541,0.7970727086035237,0.7070533839917538,0.8021260944878152,0.0181037089113684,0.0225696546163708,-0.04007059944975844,-0.0009273921206010005,11570.71563620965,0.697895875146496,2,22.18483126985208,0.1528824155571471,8.352137270067056,0.2961393568166554,0.13144653244178192,2094.0,0.039739505977537865,0.030627203930425097,60916.14354058904,13.16108106967958,0.0998127562634977,0.0378539530748581,0.003895449258267507,Affordable
